W[0.001597000006164384]		W[0.0033512839153061603]		W[0.002924094793038813]		W[0.00981248429458611]		W[0.005403469929733055]		W[0.00843286180112139]		
W[0.0016643727469343294]		W[0.0068379872827753615]		W[0.008811181207026801]		W[0.0011564773698052823]		W[0.006754131131991029]		W[0.003415730452186633]		
W[0.005694788729880444]		W[0.007708771585122331]		W[0.00409362421030875]		W[0.005326512268348927]		W[0.00477879752964772]		W[0.002494624963464789]		
W[0.005879562691289605]		W[0.00440136244755026]		W[5.435004565589152E-4]		W[0.007006214445954197]		W[0.005505653985528423]		W[0.002771886577237331]		
W[0.004168337674757945]		W[0.008413335703256312]		W[0.007985371865129763]		W[0.006330743127576285]		W[0.008685699172445716]		W[9.502970793357168E-4]		
W[0.008220555983616304]		W[0.008588634623675099]		W[0.0028512351394337433]		W[0.003972439913179074]		W[0.008735733876618725]		W[0.0063702869247869165]		
W[0.0020655747105454213]		W[0.0011253765973005714]		W[0.0031387770660818836]		W[0.0021672448067557746]		W[0.006544387689715604]		W[0.00797431032854975]		
W[0.003472976662691264]		W[6.97599057436672E-4]		W[0.00701454091786615]		W[0.00527269485536624]		W[0.007565539790469449]		W[0.009361002403235404]		
W[0.00453245762742281]		W[0.001535758510583194]		W[0.004109920000651546]		W[0.0018650420011373681]		W[0.0012070186643320657]		W[6.038890233510641E-4]		
W[0.008037581748286386]		W[0.003759243392607721]		W[0.0011002123641519134]		W[0.007760551510784172]		W[0.004124361067956094]		W[0.009438962067091206]		
W[0.008566285982289163]		W[0.00831719547666206]		W[9.1681894497176E-4]		W[0.0022275425240124726]		W[0.009563559170552969]		W[0.009343619118395586]		
